Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nuclear,140.058,150.864,145.802,143.168,145.436,152.015,161.812,153.562,161.504,161.126,162.74,156.6,156.807,158.712,154.612,158.71,133.209,140.886,127.719,132.971,102.241,94.18,92.127,91.8,86.765,80.038,72.155,71.866,70.992,60.914,65.4413,31.892,6.7229241
Fossil fuels,346.073,330.363,324.102,325.335,327.99,337.465,328.939,338.601,326.069,361.442,364.835,365.426,388.591,383.051,383.747,386.138,397.892,385.399,352.439,363.3439,357.0474,360.9171,364.0777,342.4846,343.0874,353.6123,340.0581,321.3662,274.929,244.3158,274.6684,278.7447597,263.0143562
Coal,0,0,0,0,0,0,0,0,0,296.687,293.734,299.594,304.627,298.76,288.142,288.935,297.106,275.208,253.447,253.6909,252.7454,265.8031,277.3347,264.0556,262.3514,254.0213,235.2061,221.9372,169.043,133.9115,162.8818,176.7482382,127.773
Natural gas,0,0,0,0,0,0,0,0,0,52.495,58.43,54.511,63.876,64.098,74.036,76.762,79.593,90.283,82.118,90.352,87.229,77.602,68.737,62.27,63.017,82.294,87.685,83.425,90.753,96.285,97.025,86.145,89.122
Oil,0,0,0,0,0,0,0,0,0,4.785,4.758,4.322,10.333,10.775,11.997,10.955,10.007,9.678,10.066,8.741,7.162,7.627,7.198,5.659,6.209,5.846,5.571,5.186,4.776,4.3743,4.2636,4.5405215,3.9563562
Renewables,20.681,23.731,24.572,28.39,30.977,31.808,28.50443,31.408,33.26,41.048,45.519,51.455,49.573,60.1672,66.1062,75.9594,93.4334,98.883,101.065,110.495,129.115,148.164,157.539,168.511,193.947,195.152,221.457,226.176,243.811,254.099,237.413,257.9320933,269.4728017
Hydroelectricity,14.742,17.223,17.699,19.731,21.562,21.737,17.18343,17.044,19.451,21.515,22.506,22.893,19.071,20.866,19.442,19.808,20.957,20.239,18.841,20.678,17.323,21.331,22.66,19.31,18.664,20.214,19.985,17.694,19.731,18.322,19.252,17.383,19.95763773
Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0004,0.0004,0.018,0.019,0.02,0.019,0.025,0.069,0.067,0.091,0.164,0.157,0.126,0.144,0.173,0.174,0.1520002,0.1302857
"Solar, tide, wave, fuel cell",0.001,0.004,0.003,0.007,0.007,0.012,0.018,0.035,0.03,0.06,0.116,0.188,0.333,0.557,1.282,2.22,3.075,4.42,6.584,11.729,19.599,26.38,31.01,36.056,38.726,38.098,39.401,42.607,43.513,48.525,48.373,57.8953631,59.701563
Wind,0.215,0.291,0.674,1.428,1.712,2.078,3.034,4.593,5.528,9.352,10.456,15.856,19.087,26.019,27.774,31.324,40.507,41.385,39.42,37.793,48.883,50.671,51.708,57.357,79.084,78.416,103.707,107.889,123.545,129.644,112.517,123.74873,139.1090741
Consumption,491.098,485.685,477.208,475.055,482.523,489.296,492.93143,497.445,497.056,530.768,542.085,554.443,562.064,568.5542,567.8362,573.1964,576.3744,573.028,541.991,565.6619,557.8874,556.1301,555.0417,542.6056,547.7784,550.6093,551.9401,541.7352,527.24,511.0428,529.5246999,512.1934399,519.6908475
Imports,30.416,28.25,33.628,35.92,39.735,37.404,38.02,38.315,40.598,45.134,45.779,48.37,49.107,48.187,56.861,48.464,45.953,41.67,41.859,42.962,51.003,46.268,39.222,40.435,37.008,28.338,27.842,31.727,40.126,47.853,51.731,49.2693067,69.353172
Exports,30.991,33.738,32.758,33.55,34.911,42.67,40.361,38.953,39.558,42.077,42.122,38.372,52.379,50.808,61.427,65.441,62.508,61.77,54.132,57.917,54.768,66.81,71.415,74.32,85.29,78.863,80.301,80.463,72.7939,66.882,70.306,76.2907197,60.3164305
